id,empresa,titulo,area,senioridade,modelo_trabalho,cidade,estado,pais,data_publicacao,n_candidatos,emprego_tipo,seniority_li,job_function_li,industries,easy_apply,tem_salario,link,apply_url,n_funcionarios_empresa
4270741879,C6 Bank,SRE | Site Reliability Engineering,tecnologia,nao_classificado,presencial,São Paulo,São Paulo,BR,2026-04-27,200,Full-time,Not Applicable,Engineering and Information Technology,Banking,False,False,https://www.linkedin.com/jobs/view/4270741879,https://job-boards.greenhouse.io/c6bank/jobs/4565813005,4946
4381518848,C6 Bank,Gerente de Vendas Cash Management Sênior | GVS,operacoes,senior,presencial,São Paulo,São Paulo,BR,2026-04-21,200,Full-time,Not Applicable,Management and Manufacturing,Banking,False,False,https://www.linkedin.com/jobs/view/4381518848,https://job-boards.greenhouse.io/c6bank/jobs/4667676005,4946
4395878275,C6 Bank,Especialista de Dados | Engenharia de Plataforma de Dados,tecnologia,especialista,presencial,São Paulo,São Paulo,BR,2026-04-22,114,Full-time,Not Applicable,Information Technology,Banking,False,False,https://www.linkedin.com/jobs/view/4395878275,https://job-boards.greenhouse.io/c6bank/jobs/4669324005,4946
4398400979,C6 Bank,Generative AI Development Specialist | AI Engineering,tecnologia,especialista,presencial,São Paulo,São Paulo,BR,2026-04-29,108,Full-time,Not Applicable,Other,Banking,False,False,https://www.linkedin.com/jobs/view/4398400979,https://job-boards.greenhouse.io/c6bank/jobs/4682302005,4946
4293626359,C6 Bank,Analista de Riscos Sênior | Risco de Modelo,corporativo,senior,presencial,São Paulo,São Paulo,BR,2026-04-29,200,Full-time,Not Applicable,Finance and Sales,Banking,False,False,https://www.linkedin.com/jobs/view/4293626359,https://job-boards.greenhouse.io/c6bank/jobs/4604661005,4946
4385770532,C6 Bank,Pessoa Estagiária | Engenharia de Plataforma,tecnologia,estagio,presencial,São Paulo,São Paulo,BR,2026-04-11,200,Full-time,Not Applicable,Engineering and Information Technology,Banking,False,False,https://www.linkedin.com/jobs/view/4385770532,https://job-boards.greenhouse.io/c6bank/jobs/4675686005,4946
4406401293,C6 Bank,Pessoa Engenheira de Produtos | Regulatórios,tecnologia,nao_classificado,presencial,São Paulo,São Paulo,BR,2026-04-29,25,Full-time,Not Applicable,Engineering and Information Technology,Banking,False,False,https://www.linkedin.com/jobs/view/4406401293,https://job-boards.greenhouse.io/c6bank/jobs/4690119005,4946
4406415737,C6 Bank,Auxiliar Administrativo | BackOffice Jurídico | Vaga Afirmativa para Pessoas com Deficiência,corporativo,nao_classificado,hibrido,São Paulo,São Paulo,BR,2026-04-29,116,Full-time,Not Applicable,Legal,Banking,False,False,https://www.linkedin.com/jobs/view/4406415737,https://job-boards.greenhouse.io/c6bank/jobs/4683972005,4946
4248455849,C6 Bank,Analista de Risco de Mercado Sênior | Riscos,corporativo,senior,presencial,São Paulo,São Paulo,BR,2026-04-27,200,Full-time,Not Applicable,Finance and Sales,Banking,False,False,https://www.linkedin.com/jobs/view/4248455849,https://job-boards.greenhouse.io/c6bank/jobs/4576202005,4946
4382003931,C6 Bank,Pessoa Estagiária | Crédito e Antifraude,corporativo,estagio,presencial,São Paulo,São Paulo,BR,2026-04-21,200,Full-time,Not Applicable,Finance and Sales,Banking,False,False,https://www.linkedin.com/jobs/view/4382003931,https://job-boards.greenhouse.io/c6bank/jobs/4671331005,4946
4378956382,C6 Bank,Product Owner Sênior | Cash PJ/PF & Digital Services,negocios,senior,presencial,São Paulo,São Paulo,BR,2026-04-18,200,Full-time,Not Applicable,Product Management and Marketing,Banking,False,False,https://www.linkedin.com/jobs/view/4378956382,https://job-boards.greenhouse.io/c6bank/jobs/4666263005,4946
4387521255,C6 Bank,Auxiliar Administrativo | BackOffice Cartões | Vaga Afirmativa para Pessoas com Deficiência,operacoes,nao_classificado,hibrido,São Paulo,São Paulo,BR,2026-04-15,200,Full-time,Not Applicable,Administrative,Banking,False,False,https://www.linkedin.com/jobs/view/4387521255,https://job-boards.greenhouse.io/c6bank/jobs/4671262005,4946
4406087689,C6 Bank,Auxiliar Administrativo | Recrutamento e Seleção | Vaga Afirmativa para Pessoas com Deficiência,operacoes,nao_classificado,hibrido,São Paulo,São Paulo,BR,2026-04-29,190,Full-time,Not Applicable,Administrative,Banking,False,False,https://www.linkedin.com/jobs/view/4406087689,https://job-boards.greenhouse.io/c6bank/jobs/4690062005,4946
4264637250,C6 Bank,Auxiliar Administrativo | Banco de Talentos para Pessoas com Deficiência,operacoes,nao_classificado,presencial,São Paulo,São Paulo,BR,2026-04-14,200,Full-time,Not Applicable,Administrative,Banking,False,False,https://www.linkedin.com/jobs/view/4264637250,https://job-boards.greenhouse.io/c6bank/jobs/4541641005,4946
4387551576,C6 Bank,Pessoa Estagiária | Segurança e Antifraude,tecnologia,estagio,presencial,São Paulo,São Paulo,BR,2026-04-14,200,Full-time,Not Applicable,"Other, Information Technology, and Management",Banking,False,False,https://www.linkedin.com/jobs/view/4387551576,https://job-boards.greenhouse.io/c6bank/jobs/4676539005,4946
4384000820,C6 Bank,Pessoa Consultora de Seguros | Auto | Distrito Federal,operacoes,nao_classificado,presencial,Brasília,Federal District,BR,2026-04-28,200,Full-time,Not Applicable,Management and Manufacturing,Banking,False,False,https://www.linkedin.com/jobs/view/4384000820,https://job-boards.greenhouse.io/c6bank/jobs/4673416005,4946
4347711436,C6 Bank,Pessoa Consultora de Seguros | Auto | São Paulo,operacoes,nao_classificado,presencial,São Paulo,São Paulo,BR,2026-04-19,200,Full-time,Not Applicable,Management and Manufacturing,Banking,False,False,https://www.linkedin.com/jobs/view/4347711436,https://job-boards.greenhouse.io/c6bank/jobs/4634051005,4946
4399982739,C6 Bank,Analista Sr de Crédito e Recuperação,corporativo,senior,presencial,São Paulo,São Paulo,BR,2026-04-15,200,Full-time,Not Applicable,Finance and Sales,Banking,False,False,https://www.linkedin.com/jobs/view/4399982739,https://job-boards.greenhouse.io/c6bank/jobs/4684064005,4946
4403266549,C6 Bank,Analista de Consignado Sênior | Negócios,dados,senior,presencial,São Paulo,São Paulo,BR,2026-04-23,134,Full-time,Not Applicable,"Research, Analyst, and Information Technology",Banking,False,False,https://www.linkedin.com/jobs/view/4403266549,https://job-boards.greenhouse.io/c6bank/jobs/4688188005,4946
4405568401,C6 Bank,Gerente de Negócios Veículos | Carapicuíba - São Paulo,negocios,gerente,presencial,São Paulo,São Paulo,BR,2026-04-28,43,Full-time,Not Applicable,Sales and Business Development,Banking,False,False,https://www.linkedin.com/jobs/view/4405568401,https://job-boards.greenhouse.io/c6bank/jobs/4689661005,4946
4404112692,C6 Bank,Analista de Negócios Sênior | Consignado,dados,senior,presencial,São Paulo,São Paulo,BR,2026-04-24,97,Full-time,Not Applicable,"Research, Analyst, and Information Technology",Banking,False,False,https://www.linkedin.com/jobs/view/4404112692,https://job-boards.greenhouse.io/c6bank/jobs/4684887005,4946
4392766411,C6 Bank,Analista de Controles Internos e Riscos Operacionais Sênior | Processos & Controles,operacoes,estagio,presencial,São Paulo,São Paulo,BR,2026-04-18,200,Full-time,Not Applicable,Management and Manufacturing,Banking,False,False,https://www.linkedin.com/jobs/view/4392766411,https://job-boards.greenhouse.io/c6bank/jobs/4678307005,4946
4293626360,C6 Bank,Analista de Crédito e Recuperação Sênior,negocios,senior,presencial,São Paulo,São Paulo,BR,2026-04-29,200,Full-time,Not Applicable,Business Development and Sales,Banking,False,False,https://www.linkedin.com/jobs/view/4293626360,https://job-boards.greenhouse.io/c6bank/jobs/4603541005,4946
4400119502,C6 Bank,Assistente de Atendimento | BackOffice Cartões,tecnologia,nao_classificado,presencial,São Paulo,São Paulo,BR,2026-04-15,200,Full-time,Not Applicable,Other,Banking,False,False,https://www.linkedin.com/jobs/view/4400119502,https://job-boards.greenhouse.io/c6bank/jobs/4684070005,4946
4390038891,C6 Bank,Pessoa Engenheira Sênior de Dados | Plataforma de Dados,tecnologia,senior,presencial,São Paulo,São Paulo,BR,2026-04-16,86,Full-time,Not Applicable,Information Technology,Banking,False,False,https://www.linkedin.com/jobs/view/4390038891,https://job-boards.greenhouse.io/c6bank/jobs/4677582005,4946
4404112691,C6 Bank,Pessoa Desenvolvedora Backend Sênior Kotlin/Java | Câmbio,tecnologia,senior,presencial,São Paulo,São Paulo,BR,2026-04-24,25,Full-time,Not Applicable,Engineering and Information Technology,Banking,False,False,https://www.linkedin.com/jobs/view/4404112691,https://job-boards.greenhouse.io/c6bank/jobs/4674199005,4946
4398858848,C6 Bank,Especialista Back-end Java e Kotlin | Cartões,tecnologia,especialista,presencial,São Paulo,São Paulo,BR,2026-05-01,73,Full-time,Not Applicable,Engineering and Information Technology,Banking,False,False,https://www.linkedin.com/jobs/view/4398858848,https://job-boards.greenhouse.io/c6bank/jobs/4598321005,4946
4403254729,C6 Bank,Pessoa Desenvolvedora Back-end Java/ Kotlin Sênior | Investments Engineering,tecnologia,senior,presencial,São Paulo,São Paulo,BR,2026-04-23,33,Full-time,Not Applicable,Engineering and Information Technology,Banking,False,False,https://www.linkedin.com/jobs/view/4403254729,https://job-boards.greenhouse.io/c6bank/jobs/4669321005,4946
4406706405,C6 Bank,Operador de Atendimento | Atendimento VIP | Vaga Afirmativa para Pessoas com Deficiência,tecnologia,nao_classificado,presencial,São Paulo,São Paulo,BR,2026-04-30,39,Full-time,Not Applicable,Other,Banking,False,False,https://www.linkedin.com/jobs/view/4406706405,https://job-boards.greenhouse.io/c6bank/jobs/4689296005,4946
4406086699,C6 Bank,Assistente de Cobrança | Cobrança,corporativo,nao_classificado,presencial,São Paulo,São Paulo,BR,2026-04-29,200,Full-time,Not Applicable,Accounting/Auditing and Finance,Banking,False,False,https://www.linkedin.com/jobs/view/4406086699,https://job-boards.greenhouse.io/c6bank/jobs/4690106005,4946
4398405846,C6 Bank,Pessoa Desenvolvedora Backend Pleno Kotlin/Java | Cartões,tecnologia,pleno,presencial,São Paulo,São Paulo,BR,2026-04-29,116,Full-time,Not Applicable,Engineering and Information Technology,Banking,False,False,https://www.linkedin.com/jobs/view/4398405846,https://job-boards.greenhouse.io/c6bank/jobs/4671071005,4946
4406098424,C6 Bank,Massoterapeuta | Benefícios | Vaga Afirmativa para Pessoas com Deficiência,operacoes,nao_classificado,presencial,São Paulo,São Paulo,BR,2026-04-29,65,Full-time,Not Applicable,Health Care Provider,Banking,False,False,https://www.linkedin.com/jobs/view/4406098424,https://job-boards.greenhouse.io/c6bank/jobs/4685571005,4946
4385765641,C6 Bank,Analista de Negócios SR | Parcelados Pessoa Jurídica,dados,senior,presencial,São Paulo,São Paulo,BR,2026-04-11,136,Full-time,Not Applicable,"Research, Analyst, and Information Technology",Banking,False,False,https://www.linkedin.com/jobs/view/4385765641,https://job-boards.greenhouse.io/c6bank/jobs/4671182005,4946
