id,companyName,title,seniority_score,area,location
4402063991,Itaú Unibanco,Desenvolvimento Dynamics Sênior,1,data,"São Paulo, São Paulo, Brazil (On-site)"
4400250820,Itaú Unibanco,Engenharia de Software Frontend Angular Sr | Agro Varejo,3,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4385160370,Nubank,Senior Software Engineer,3,data,Greater Rio de Janeiro (Hybrid)
4390686657,Nubank,Senior IT Engineer – Global Offices Network,3,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4389407164,Nubank,Senior Media BI Specialist,3,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4393988383,Nubank,Pessoa Business Analyst - exclusiva para Pessoas com Deficiência,1,data,Greater Rio de Janeiro (Hybrid)
4383409639,Nubank,Technical Lead Product Designer - Crypto,4,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4393275688,Nubank,Lead IT Engineer - Service Management,4,data,"Campinas, São Paulo, Brazil (Hybrid)"
4389406209,Nubank,Especialista Back Office Financeiro,1,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4407540751,Nubank,Machine Learning Engineer Manager (AI Platform),1,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4369993014,Nubank,Lead Machine Learning Engineer / Applied AI Scientist,4,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4339803972,Nubank,Model Risk Senior Specialist,3,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4393216986,Nubank,Senior Analytics Engineer,3,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4405808380,Nubank,Enterprise Risk Management,1,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4400574718,Nubank,SOx IT Specialist,1,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4399413461,Nubank,Senior Security Engineer (GRC),3,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4379081566,Nubank,Operational Risk Specialist (BCM & TPRM),1,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4375402681,Nubank,Senior Security Engineer - Data Security,3,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4364416535,Nubank,Lead/Staff Machine Learning Engineer,4,data,Greater Rio de Janeiro (Hybrid)
4375897763,Nubank,Data Audit Senior Specialist,3,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4390361687,Nubank,Lead Security Engineer (GRC),4,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4401793818,Nubank,Senior Business Analyst,3,data,Greater Rio de Janeiro (Hybrid)
4403543880,Nubank,Business Continuity & Crisis Management Senior Specialist,3,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4380588279,Nubank,Senior Security Engineer (Information Security),3,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4389297464,Nubank,Staff Software Engineer | Credit Cards,4,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4384508688,Nubank,Senior Staff Software Engineer - Debt Resolution,4,data,"Belo Horizonte, Minas Gerais, Brazil (Hybrid)"
4364502224,Nubank,Lead/Staff Data Scientist,4,data,Greater Rio de Janeiro (Hybrid)
4385155580,Nubank,Senior Software Engineer,3,data,"Belo Horizonte, Minas Gerais, Brazil (Hybrid)"
4385166131,Nubank,Staff Software Engineer,4,data,"Belo Horizonte, Minas Gerais, Brazil (Hybrid)"
4384509658,Nubank,Senior Staff Software Engineer - Debt Resolution,4,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4385162312,Nubank,Staff Software Engineer,4,data,"Campinas, São Paulo, Brazil (Hybrid)"
4385154681,Nubank,Senior Software Engineer,3,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4381497324,Nubank,Senior Staff Software Engineer | Investments,4,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4393977794,Nubank,Staff Software Engineer | NuPay,4,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4335151263,Nubank,Senior Mobile Software Engineer,3,data,"Campinas, São Paulo, Brazil (Hybrid)"
4408207946,Nubank,Lead Mobile Software Engineer,4,data,"Campinas, São Paulo, Brazil (Hybrid)"
4335111772,Nubank,Pessoa Engenheira de Software - exclusiva para Pessoas com Deficiência,1,backend,"São Paulo, São Paulo, Brazil (Hybrid)"
4400648492,Nubank,Senior Staff / Principal Engineer - Digital Ecosystem,4,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4400654311,Nubank,Principal Software Engineer - Credit Card Core Platforms,4,data,"Campinas, São Paulo, Brazil (Hybrid)"
4375413293,Nubank,Principal Software Engineer - Credit Card,4,backend,"São Paulo, São Paulo, Brazil (Hybrid)"
4391784009,Nubank,Staff Software Engineer | Credit Cards,4,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4389291615,Nubank,Staff Software Engineer | Credit Cards,4,data,"Campinas, São Paulo, Brazil (Hybrid)"
4385157529,Nubank,Staff Software Engineer,4,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4381489610,Nubank,Senior Staff Software Engineer | Investments,4,data,"Campinas, São Paulo, Brazil (Hybrid)"
4384504708,Nubank,Senior Staff Software Engineer - Debt Resolution,4,data,"Campinas, São Paulo, Brazil (Hybrid)"
4385154679,Nubank,Senior Software Engineer,3,data,"Campinas, São Paulo, Brazil (Hybrid)"
4398483604,Itaú Unibanco,Backend - Engenharia de Plataforma TI Sênior - Híbrido SP,1,data,"São Paulo, São Paulo, Brazil (Hybrid)"
4393978764,Nubank,Staff Software Engineer | NuPay,4,data,"Campinas, São Paulo, Brazil (Hybrid)"
